time,battery_current(A),battery_temperature(C),battery_voltage(V),controller_temperature(C),daily_load_consumption(Wh),daily_solar_production(Wh),daily_wind_turbine_production(Wh),dump_load_current(A),load_voltage(V),output_current(A),solar_current(A),solar_voltage(V),total_load_consumption(Wh),total_solar_production(Wh),total_wind_turbine_production(Wh),wind_charge_current(A),wind_turbine(RPM),wind_voltage(V)
2020-08-28 03:00:00+03:00,0.0,1312.1,1461.6000000000015,1664.8999999999992,7443,23084,0,0,1428.7999999999988,121.79999999999987,0.0,282.80000000000024,310463,491202,58,0,0,46.39999999999996
2020-08-28 04:00:00+03:00,0.0,1322.1999999999998,1455.6999999999991,1676.4000000000005,10440,23084,0,0,1350.8000000000004,121.79999999999987,0.0,288.80000000000024,297234,491202,55,0,0,46.39999999999996
2020-08-28 05:00:00+03:00,0.0,1352.2999999999997,1471.1000000000001,1715.1999999999996,13653,23482,0,0,1390.5999999999992,123.89999999999986,0.0,289.5000000000003,310989,499671,57,0,0,47.19999999999996
2020-08-28 06:00:00+03:00,0.0,1358.9,1489.6,1603.3999999999994,5043,7562,0,0,1385.4999999999998,39.90000000000001,0.0,870.9000000000001,307742,499671,56,0,0,15.200000000000005
2020-08-28 07:00:00+03:00,1.2,1323.0999999999997,1478.2000000000003,1455.0,0,0,0,0,1427.3000000000002,0.0,1.2,1754.0000000000005,313386,491214,57,0,0,0.6
2020-08-28 08:00:00+03:00,9.200000000000001,1470.3000000000004,1479.0,1531.7000000000003,0,124,0,0,1430.7999999999997,0.0,9.200000000000001,1854.8999999999994,313386,491373,57,0,0,0.5
2020-08-28 09:00:00+03:00,39.099999999999994,1811.3000000000004,1529.9,1839.6999999999998,0,702,0,0,1487.3999999999999,0.0,33.1,1980.1999999999998,318884,500426,58,0,0,0.4
2020-08-28 10:00:00+03:00,197.69999999999993,2036.0000000000002,1548.100000000001,2234.5,0,3640,0,0,1495.5000000000002,0.0,168.20000000000002,1855.2000000000005,307888,494886,56,0,0,2.2000000000000006
2020-08-28 11:00:00+03:00,283.5,2258.4999999999995,1593.2999999999995,2542.9000000000005,0,10670,0,0,1578.3000000000004,0.0,244.19999999999987,1869.5,313386,501921,57,0,0,4.100000000000001
2020-08-28 12:00:00+03:00,177.09999999999994,2329.0,1720.5000000000018,2587.7,0,17947,0,0,1691.4999999999998,0.0,154.49999999999997,2010.4999999999993,318884,517663,58,0,0,3.0000000000000013
2020-08-28 13:00:00+03:00,53.400000000000006,2118.8,1586.7000000000012,2268.7000000000007,0,19388,0,0,1579.8000000000009,0.0,46.600000000000044,1893.0999999999997,296892,476758,54,0,0,0.6
2020-08-28 14:00:00+03:00,34.0,2202.8,1646.3000000000013,2332.8999999999987,0,21364,0,0,1637.1999999999994,0.0,29.599999999999987,1979.8,307888,495675,56,0,0,3.8000000000000003
2020-08-28 15:00:00+03:00,16.000000000000007,2278.800000000001,1643.7,2399.3000000000006,0,22622,0,0,1600.9000000000005,0.0,16.000000000000007,2010.3999999999999,307888,505404,56,0,0,1.4000000000000001
2020-08-28 16:00:00+03:00,0.5,2272.1000000000004,1539.6999999999998,2386.7,0,22837,0,0,1496.2999999999993,0.0,0.5,2032.1999999999994,307888,505624,56,0,0,0.6
2020-08-28 17:00:00+03:00,0.0,2154.3,1485.0,2281.6,0,22055,0,0,1472.6999999999998,0.0,0.0,1982.4999999999998,302390,487905,55,0,0,0.2
2020-08-28 18:00:00+03:00,0.4,2047.9000000000008,1565.8000000000002,2193.8,0,23258,0,0,1547.6999999999998,0.0,0.4,2094.5000000000005,318884,514518,58,0,0,0.30000000000000004
2020-08-28 19:00:00+03:00,0.1,1834.1999999999996,1561.0,1981.5000000000005,0,23258,0,0,1515.8000000000009,0.0,0.1,1825.8000000000002,313386,514518,57,0,0,0.2
2020-08-28 20:00:00+03:00,0.0,1694.8999999999999,1540.5000000000002,1841.1000000000001,0,23659,0,0,1487.4999999999986,0.0,0.0,796.1999999999996,318884,523389,58,0,0,0.0
2020-08-28 21:00:00+03:00,0.0,1482.8000000000002,1427.5000000000002,1611.1,0,7218,0,0,1399.8999999999999,5.0,0.0,357.19999999999993,307968,496776,56,0,0,2.9
2020-08-28 22:00:00+03:00,0.0,1419.5000000000002,1428.0,1532.8999999999999,0,0,0,0,1375.0,0.0,0.0,365.0000000000001,302555,496776,55,0,0,0.0
